# First execution is indirect access via iterator interface, second is direct access.
execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
1;1599746486;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2612799;;
1;1599746489;1;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2571467;;
1;1599746492;2;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2585459;;
1;1599746494;3;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2553446;;
1;1599746497;4;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2575252;;
1;1599746499;5;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554316;;
1;1599746502;6;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2553453;;
1;1599746504;7;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2558179;;
1;1599746507;8;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554835;;
1;1599746509;9;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2553408;;
1;1599746512;10;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554400;;
1;1599746515;11;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2553581;;
1;1599746517;12;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2557703;;
1;1599746520;13;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554453;;
1;1599746522;14;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2555788;;
1;1599746525;15;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554208;;
1;1599746527;16;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2589444;;
1;1599746530;17;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2554760;;
1;1599746533;18;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2553343;;
1;1599746535;19;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2552586;;
2;1599746581;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2262040;;
2;1599746583;1;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2194438;;
2;1599746585;2;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2200013;;
2;1599746587;3;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2191702;;
2;1599746589;4;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2178549;;
2;1599746592;5;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2189754;;
2;1599746594;6;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2177480;;
2;1599746596;7;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2179625;;
2;1599746598;8;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2187269;;
2;1599746600;9;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2182316;;
2;1599746602;10;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2207678;;
2;1599746605;11;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2217133;;
2;1599746607;12;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2206852;;
2;1599746609;13;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2187540;;
2;1599746611;14;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2183293;;
2;1599746613;15;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2182452;;
2;1599746616;16;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2182441;;
2;1599746618;17;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2183780;;
2;1599746620;18;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2184293;;
2;1599746622;19;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2184284;;
